artist,song
Les Miserables,the runaway cart
Kiss,move on
Journey,one more
Poison,what i like about you
Johnny Cash,children go where i send thee
Louis Armstrong,high society calypso
The Temptations,sing a simple song
Devo,i need a chick
Natalie Grant,crosses and crowns
Roy Orbison,coming home
Cake,you part the waters
Clash,corner soul
Adam Sandler,the excited southerner orders a meal
John Denver,peace poem
Pet Shop Boys,psychological
Rage Against The Machine,down rodeo
Cher,believe
Within Temptation,our solemn hour
Arlo Guthrie,someday
Kenny Loggins,i'm alright
Doobie Brothers,without you
Peter Cetera,baby what a big surprise
Madonna,more
Joni Mitchell,"answer me, my love"
Unseen,fight for a better life
Olivia Newton-John,magic
Rihanna,fool in love
Guns N' Roses,patience
INXS,i'm just a man
Linda Ronstadt,colorado
Heart,under the sky
Kenny Loggins,coventry carol
Eminem,eye of the tiger
Nitty Gritty Dirt Band,walkin' in the sunshine
Def Leppard,pour some sugar on me
Adam Sandler,creepin' on the mayor
Norah Jones,miriam
Bob Marley,simmer down
Sublime,new thrash
Poison,hollyweird
Zox,rain on me
Idina Menzel,straw into gold
Conway Twitty,coal miner's daughter
The Temptations,ain't no sun since you've been gone
Rihanna,love is the only way
Bruce Springsteen,a night with the jersey devil
Taylor Swift,somebody to hold
Bill Withers,harlem
Roy Orbison,it wasn't very long ago
Europe,dreamer
Depeche Mode,fools
Chuck Berry,driftin' blues
Conway Twitty,hey little lucy! (don'tcha put no lipstick on)
Tori Amos,hotel
U2,red light
Electric Light Orchestra,baby i apologise
John Denver,alfie the christmas tree
Linda Ronstadt,a number and a name
Incubus,in the company of wolves
Guided By Voices,the hard way
Hillsong United,here now (madness)
Coldplay,streets of baltimore
Counting Crows,ghost train
Manowar,the sons of odin
Fiona Apple,angel
Gloria Gaynor,suddenly
Demi Lovato,back around
Prince,dirty mind
Dave Matthews Band,break free (6-16-06)
Allman Brothers Band,layla
Steve Miller Band,blue eyes
Bob Rivers,7-11 (seven eleven)
Elton John,breaking down barriers
The Weeknd,belong to the world
Squeeze,tempted
The Temptations,"baby, baby i need you"
Jennifer Lopez,loving you
Thin Lizzy,brought down
Quicksilver Messenger Service,i found love
Lenny Kravitz,let love rule
Rihanna,photographs
Planetshakers,my hero
America,to each his own
Nirvana,negative creep
Enya,stars and midnight blue
Chris Rea,deep water
Radiohead,pyramid song
Face To Face,so long
Prince,"a 1,000 hugs and kisses"
Pink Floyd,flaming
Tom Lehrer,my home town
Don Moen,creator king
Offspring,trust in you
Rod Stewart,makin' whoopee
UB40,i'm not fooled so easily
Uriah Heep,rough justice
Bing Crosby,at last
Michael W. Smith,shine on us
The Beatles,lend me your comb
Hillsong,more than anything
Kelly Family,ares qui
UB40,wedding day
Kanye West,bad news
Pat Benatar,in these times
Adam Sandler,like a hurricane
Guns N' Roses,look at your game girl
Ufo,outlaw man
Carly Simon,all the love in the world
Stone Temple Pilots,pruno
Metallica,green hell
Maroon 5,everyday goodbyes
Amy Grant,doubly good to you
Kenny Chesney,don't blink
Ed Sheeran,faces
Will Smith,mr. niceguy
U2,ordinary love
J Cole,enchanted
Hillsong,love song
Red Hot Chili Peppers,make you feel better
Chicago,loneliness is just a word
Quicksilver Messenger Service,don't cry my lady love
Hank Snow,it's four in the morning
Nickelback,falls back on
Allman Brothers Band,heart of stone
Wanda Jackson,between the window and the phone
Quincy Punx,be my alibi
R. Kelly,forever and ever
Judds,old pictures
Donna Summer,lamb of god
System Of A Down,highway song
Hanson,christmas time
George Formby,auntie maggie's remedy
Norah Jones,not my friend
Steve Miller Band,love shock
Ween,awesome sound
Fabolous,no need for conversation
Erik Santos,all i want this christmas
Scorpions,10 light years away
Boney M.,let it all be music
James Taylor,i will not lie for you
Drake,over my dead body
David Guetta,commander
Kelly Clarkson,bad reputation
Tom T. Hall,a week in a country jail
Children,irish lullaby
Richard Marx,touch of heaven
Overkill,hammerhead
Rod Stewart,i'd rather go blind
Tim McGraw,you had to be there
Nina Simone,real real
Kelly Family,ego
Tom Waits,drunk on the moon
Mariah Carey,irresistible
Marianne Faithfull,guilt
Keith Urban,red camaro
Bonnie Raitt,the fundamental things
Alabama,reckless
Frank Sinatra,but not for me
Offspring,why don't get a job?
Will Smith,so fresh
Kim Wilde,brothers
Nightwish,she is my sin
Rihanna,saxon
Linda Ronstadt,different drum
Owl City,peppermint winter
Cyndi Lauper,maybe i'm amazed
Vince Gill,old time fiddle
Modern Talking,don't let it get you down
Bob Marley,donna
Pet Shop Boys,if looks could kill
Poison,rockstar
Erasure,voulez vous
Oingo Boingo,new generation
W.A.S.P.,hold on to my heart
Ray Charles,baby let me hold your hand
Nirvana,you know you're right
Justin Bieber,children
Boney M.,bang bang lulu
Alphaville,golden feeling
Flo-Rida,i'm dancin
Coldplay,another's arms
Megadeth,crown of worms
Cher,let me down easy
Michael Buble,buena sera
Fleetwood Mac,murrow turning over in his grave
Manowar,swords in the wind
John Prine,same thing happened to me
Natalie Cole,keep smiling
Backstreet Boys,the unloved
Katy Perry,damn
Elvis Costello,living in paradise
Elvis Costello,i'm in the mood again
Jimmy Buffett,i used to have money one time
Alphaville,pandora's lullaby
Lil Wayne,get down
Jennifer Lopez,love don't cost a thing
Elton John,dixie lily
Stone Roses,tightrope
Elvis Costello,bullets for the new-born king
Def Leppard,to be alive
Ellie Goulding,too much love
Dolly Parton,don't drop out
Poison,shooting star
Reba Mcentire,if i could only be like you
Jason Mraz,better
Scorpions,drifting sun
Nazareth,shot me down
Utopia,libertine
Great Big Sea,demasduit's dream
Foreigner,just between you and me
Lenny Kravitz,can't stop thinkin' 'bout you
The Temptations,little miss sweetness
Kris Kristofferson,one day at a time
Townes Van Zandt,fraternity blues
XTC,jump
Alice In Chains,fear the voices
Kid Rock,paid
Bonnie Raitt,burning down the house
Oasis,shakermaker
Marianne Faithfull,i'm a loser
Rem,all the best
Perry Como,it had to be you
Gordon Lightfoot,can't depend on love
Carly Simon,body and soul
Regine Velasquez,i'm lost in lonely harmony
Cheap Trick,"you drive, i'll steer"
Tim Buckley,pleasant street
King Diamond,catacomb
Grand Funk Railroad,pass it around
Regine Velasquez,babae ako
James Taylor,a junkie's lament
Doobie Brothers,just in time
Kenny Chesney,it's that time of day
ABBA,love has it's ways
John Denver,"easy, on easy street"
Counting Crows,margery dreams of horses
Dolly Parton,9 to 5
Robbie Williams,average b-side
Robbie Williams,meet the stars
Hanson,running man
Patti Smith,godspeed
Cyndi Lauper,yeah yeah
Wu-Tang Clan,shame on a nuh
Notorious B.I.G.,the what
Kenny Chesney,life is good
Waylon Jennings,cindy of new orleans
Neil Young,girl from the north country
Quincy Punx,my america
Backstreet Boys,safest place to hide
Omd,the more i see you
Vybz Kartel,emergency
Cliff Richard,just don't have the heart
Iron Maiden,from here to eternity
Lloyd Cole,down on mission street
Oasis,helter skelter
Train,we were made for this
Roy Orbison,heartbreak radio
Quicksand,head to wall
Gary Valenciano,i will be here
Fleetwood Mac,silver heels
Planetshakers,a worship moment
Housemartins,step outside
Foo Fighters,this is a call
Quiet Riot,slave to love
Kid Rock,"cool, daddy cool"
Dolly Parton,daddy's moonshine still
Nina Simone,seems i'm never tired of lovin' you
Nine Inch Nails,not so pretty now
Scorpions,stone in my shoe
Misfits,london dungeon
Omd,joan of arc
Red Hot Chili Peppers,the velvet glove
LL Cool J,skit
Kenny Loggins,this island earth
Kinks,autumn almanac
Lionel Richie,i wanna take you down
John Legend,surefire
Procol Harum,learn to fly
Roxette,run run run
Justin Bieber,looking for you
Usher,it is what it is
Billy Joel,worse comes to worst
Nina Simone,come ye
Reo Speedwagon,shakin it loose
Cole Porter,easy to love
Overkill,nice day... for a funeral
David Guetta,love don't let me go
Pearl Jam,my generation
Hillsong United,forever and a day
Indiana Bible College,you hold my world
Paul McCartney,looking for changes
Isley Brothers,groove with you
Perry Como,if you were the only girl in the world
Lana Del Rey,diet mountain dew
Ace Of Base,juliet
Talking Heads,stay up late
Who,the quiet one
Grand Funk Railroad,mean mistreater
Fabolous,thats not love
Ian Hunter,livin' in a heart
Raffi,on christmas morning
Queen Adreena,night curse
Cyndi Lauper,anna blue
Talking Heads,genius of love
Phish,dog faced boy
John Mellencamp,positively crazy
Eppu Normaali,roadhouse blues
Vince Gill,oklahoma swing
Vince Gill,cinderella
Procol Harum,eight days a week
Neil Diamond,jingle bell rock
Wiz Khalifa,make a play
Alabama,of course i'm alright
Tom T. Hall,the son of clayton delaney
Conway Twitty,blue moon
Bob Marley,what am i supposed to do
High School Musical,high school musical
Creedence Clearwater Revival,susie- q
Crowded House,kare kare
Creedence Clearwater Revival,jeremiah was a bullfrog
LL Cool J,strictly business
Eminem,3 verses
Michael Bolton,"can't hold on, can't let go"
UB40,guns in the ghetto
Michael Jackson,d.s.
Green Day,hybrid moments
Miley Cyrus,morning sun
Kid Rock,i am the bullgod
Louis Armstrong,i left my heart in san francisco
Chaka Khan,a woman in a man's world
Irving Berlin,blue skies
Bob Dylan,farewell
Boney M.,ma baker
Ten Years After,my baby left me
INXS,the indian song
Kid Rock,fist of rage
Nick Cave,christina the astonishing
Modern Talking,princes of the night
Chris Brown,girl you loud
Zayn Malik,it's you
Frankie Laine,moonlight gambler
Scorpions,soul behind the face
Rick Astley,miracle
Europe,settle for love
Radiohead,all i need
Yoko Ono,i'm losing you
Nicki Minaj,see the stars
Flo-Rida,club can't handle me
Weird Al Yankovic,headline news
Foo Fighters,kung fu fightin
Air Supply,who will love me now
Kanye West,facts
Point Of Grace,the river
Glen Campbell,it's only make believe
Ne-Yo,nobody
Vangelis,ask the mountains
Judy Garland,alone
Dolly Parton,blue smoke
Taylor Swift,mine
The Killers,for reasons unknown
Nick Cave,she fell away
Religious Music,a charge to keep i have
Queen Latifah,hello stranger
Kenny Rogers,if i could hold on to love
Jimmy Buffett,i have found me a home
Phish,mike's song
Dolly Parton,down on music row
Alison Krauss,will you be leaving
Rascal Flatts,from time to time
Kanye West,mama's boyfriend
Wishbone Ash,you
Devo,triumph of the will
Waterboys,love and death
Hank Williams Jr.,almost nearly but not quite plumb
Peter Cetera,glory of love
Scorpions,another piece of meat
Counting Crows,mrs. potter's lullaby
Kiss,killer
Human League,cruel young lover
Conway Twitty,for heaven's sake
Fastball,sooner or later
Air Supply,the weight is my soul
Halloween,howl at the moon
The Monkees,star collector
Michael Buble,tell him he's yours
Kiss,i still love you
Whitesnake,lie down
Rainbow,make your move
Van Morrison,educating archie
Bob Seger,you know who you are
Savage Garden,break me shake me
Gary Numan,crash
Bon Jovi,crazy
Billie Holiday,here it is tomorrow again
Hank Williams,you're gonna change
Status Quo,ain't complaining
Beach Boys,barbara ann
Lata Mangeshkar,aankhon ka taara praanon se pyaara
Squeeze,wrong side of the moon
Nazareth,bring it on home to mama
Fall Out Boy,where did the party go
Conway Twitty,hit the road jack
Leo Sayer,the dancer
Zebrahead,wannabe
Ray Charles,i'm going down the river
Lauryn Hill,can't take my eyes off you
Hillsong United,king of all days
Thin Lizzy,heart attack
Loretta Lynn,rose garden
Ella Fitzgerald,i want to talk about you
Kylie Minogue,rhythm of love
Gloria Estefan,night bring me my lover
Evanescence,you
Ziggy Marley,beach in hawaii
Doris Day,"bewitched, bothered and bewildered"
Gino Vannelli,valleys of valhalla
Rihanna,my name is rihanna
Barbra Streisand,all i ask of you
Nick Drake,poor boy
Phineas And Ferb,truck drivin' girl
Guided By Voices,blimps go 90
Crowded House,chocolate cake
Fall Out Boy,"a little less sixteen candles, a little"
David Allan Coe,take time to know her
Lionel Richie,why
Patsy Cline,too many secrets
David Pomeranz,this is what i dreamed
Wanda Jackson,my days are darker than your nights
Cliff Richard,how wonderful to know
Clash,version city
Black Sabbath,peace of mind
Who,daily records
Vengaboys,up and down
Jason Mraz,"run boy, run"
Nick Cave,saint huck
Coldplay,42
Eminem,bully
Cliff Richard,never say die
Judds,can't nobody love you
Ziggy Marley,personal revolution
Santana,the sensitive kind
Carly Simon,it happens everyday
Paul McCartney,how many people
Elton John,born to lose
Yo La Tengo,our way to fall
Bonnie Raitt,rock steady
Kylie Minogue,les sex
Judas Priest,heavy metal
The White Stripes,suzy lee
Lady Gaga,footsteps in the snow
Weezer,beverly hills
Neil Diamond,blue destiny (version one)
Korn,open up
Rod Stewart,broken arrow
Hank Snow,a daisy a day
Kylie Minogue,if i was your lover
Kiss,deuce
Overkill,electric rattlesnake
Everclear,breakfast at tiffany's
Rick Astley,my arms keep missing you
Robbie Williams,ego a go go
Great Big Sea,bad as i am
Point Of Grace,hometown
Crowded House,catherine wheels
The Temptations,happy landing
Talking Heads,gangster of love
Omd,goddess of love
Regine Velasquez,hold me in your arms
Hank Snow,linda lou
David Allan Coe,under rachel's wings
Misfits,we bite
Venom,the evil one
Kirk Franklin,silver and gold
Imperials,lord of the harvest
Virgin Steele,rain of fire
Fleetwood Mac,miss fantasy
Christmas Songs,"good christian men, rejoice"
The Beatles,from me to you
Steely Dan,with a gun
Matt Redman,once again
Phil Collins,something happened on the way to heaven
David Allan Coe,i've got to have you
Ian Hunter,something to believe in
ZZ Top,esther be the one
Evanescence,taking over me
Extreme,when will it rain
Bette Midler,song of bernadette
Katy Perry,lost
Cake,opera singer
Yoko Ono,"forgive me, my love"
Rem,passenger (as performed on bbc's 'later' with jools holland)
Helloween,before the war
Lauryn Hill,do you like the way
Misfits,static age
Backstreet Boys,just want you to know
Alice Cooper,life and death of the party
Great Big Sea,the scolding wife
Alison Krauss,i don't have to live this way
The Killers,change your mind
Marilyn Manson,mechanical animals
Nightwish,our decades in the sun
Bob Seger,evil edna
The Temptations,too busy thinking about my baby
Bread,picture in your mind
UB40,the king step
David Guetta,if we ever
Andy Williams,three coins in the fountain
Zoegirl,give me one reason
Incubus,"if not now, when?"
Proclaimers,spinning around in the air
Keith Green,the sheep and the goats
Grease,we'll be together
Iron Maiden,only the good die young
Chris Rea,reasons
Queens Of The Stone Age,no one knows
Velvet Underground,lonesome cowboy bill
Cyndi Lauper,carey
Garth Brooks,fishin' in the dark
Alison Krauss,"oh, atlanta"
Marillion,the last straw
Scorpions,make it real
Josh Groban,thankful
George Harrison,never get over you
Underworld,something like a mama
INXS,johnson's aeroplane
Status Quo,can't be done
Counting Crows,rain king
Chris Brown,don't think they know
Richard Marx,dependence
John Legend,maxine
Grand Funk Railroad,1976
Vanilla Ice,scars
Def Leppard,rock! rock! till you drop
Janis Joplin,white rabbit
Tori Amos,cloud on my tongue
Van Morrison,higher than the world
P!nk,don't leave me
O-Zone,numa numa (english version)
Glen Campbell,by the time i get to phoenix
Frank Sinatra,blue lace
ZZ Top,mushmouth shoutin'
The Monkees,hollywood
Kate Bush,wuthering heights
UB40,hip hop lyrical robot
Kirsty Maccoll,something stupid
Jim Croce,big wheel
Fatboy Slim,weapon of choice
Wu-Tang Clan,rivers of blood
Faith Hill,if i should fall behind
Xscape,do you want to
Kris Kristofferson,stranger
Quietdrive,birthday
Morrissey,i like you
Kylie Minogue,cover me with kisses
Diana Ross,he's my sunny boy
Tom T. Hall,it feels better now
Lana Del Rey,gangsta boy
W.A.S.P.,saturday night cockfight
Avril Lavigne,stop standing there
Jackson Browne,let it be me
Isley Brothers,don't let me be lonely tonight
Yngwie Malmsteen,prisoner of your love
Indigo Girls,our deliverance
Kelly Family,don't always want
Iron Maiden,face in the sand
Hillsong,jesus the same
Lana Del Rey,cola
Otis Redding,merry christmas baby
Velvet Underground,she's my best friend
Weezer,hang on
Metallica,master of disaster
Conway Twitty,darling days
Natalie Cole,more than you'll ever know
Nirvana,d7
Wiz Khalifa,fly solo
Christy Moore,joe mccann
Ufo,lovin' cup
Kris Kristofferson,somebody nobody knows
Fatboy Slim,moonbeam woman
Vanessa Williams,the sweetest days
Miley Cyrus,true friend
Judds,beautiful star of bethlehem
Robbie Williams,something stupid
Garth Brooks,it's midnight cinderella
Van Halen,mine all mine
Marilyn Manson,believe
Miley Cyrus,this is the life
Marillion,forgotten sons
Smiths,meat is murder
UB40,the train is coming
Frank Sinatra,"anytime, anywhere"
Natalie Cole,billy the kid next door
The White Stripes,dead leaves and the dirty ground
UB40,keep on moving
Creedence Clearwater Revival,sailor's lament
Iggy Pop,death trip
Lenny Kravitz,flash
Incognito,down to earth
Michael W. Smith,open arms
Mark Ronson,only one i know
Yngwie Malmsteen,i'd die without you
Stevie Ray Vaughan,the house is rockin'
Eagles,james dean
Dave Matthews Band,so right
Grateful Dead,foolish heart
Modern Talking,superstar
Queen,let me live
John Mellencamp,the face of the nation
Train,drive by
Bob Dylan,dear landlord
Marianne Faithfull,as tears go by
Frank Zappa,didja get any onya?
Poison,the devil inside
Billy Joel,josephine
Falco,in the navy
Van Morrison,checkin' it out
Uriah Heep,more fool you
America,my american dream
Scorpions,wind of change
The Beatles,clarabella
Doors,little red rooster
Natalie Imbruglia,frightened child
Chaka Khan,make it last
Kirk Franklin,love song
Donna Summer,i believe
Lionel Richie,wasted time
Moody Blues,what am i doing here?
Rihanna,rush
Ween,the golden eel
Dolly Parton,high and mighty
Carly Simon,island
Joni Mitchell,furry sings the blues
Xavier Rudd,land rights
Arrogant Worms,the coffee song
Rolling Stones,baby break it down
Wiz Khalifa,see you again
Eurythmics,you have placed a chill in my heart
Rick Astley,is this really love?
George Strait,i need someone like me
Quietdrive,crawling in the dark
Erasure,spiralling
Phil Collins,can't stop loving you
Robbie Williams,me and my shadow
George Strait,big ball's in cowtown
Bruce Springsteen,back in your arms
O.A.R.,untitled
The Beatles,i am the walrus
Frankie Laine,"laura, what's he got that i ain't got"
Tears For Fears,swords and knives
Arrogant Worms,christmas turkey blues
Cheap Trick,she's got motion
Tina Turner,goodbye so long
"Harry Connick, Jr.",silver bells
YG,1am
Jennifer Lopez,one step at a time
Pitbull,hotel room service
Venom,raise the dead
Ray Boltz,jesus real loud
Keith Urban,sweet thing
You Am I,sugar
Olivia Newton-John,heartbreaker
Bon Jovi,fallen from graceland
Devo,the day my baby gave me a surprize
Chicago,no tell lover
Fall Out Boy,lake effect kid
Michael Bolton,take me as i am
Ray Charles,my world
Marillion,kayleigh
Incognito,summer in the city
Warren Zevon,please stay
Used,poetic tragedy
Reba Mcentire,i sacrificed more than you'll ever lose
Elvis Costello,i threw it all away
Kris Kristofferson,the eagle and the bear
Hank Williams,little paper boy
Blur,it could be you
George Jones,fox on the run
R. Kelly,i can't sleep baby
Backstreet Boys,everybody
Yngwie Malmsteen,all i want is everything
Dolly Parton,how does it feel
Roxy Music,2hb
Counting Crows,sundays
Children,buffalo gals
XTC,life is good in the greenhouse
Lil Wayne,duffle bag boy
Quiet Riot,you drive me crazy
Within Temptation,it's the fear
Grand Funk Railroad,i fell for your love
Black Sabbath,evil woman
Hollies,running through the night
George Harrison,soft touch
Meat Loaf,blind as a bat
Cyndi Lauper,eventually
Incubus,"promises, promises"
Neil Young,can't believe your lyin'
Q-Tip,won't trade
Yoko Ono,i'll always be with you
Kris Kristofferson,eddie the eunuch
The Beatles,hey bulldog
Phil Collins,tearing and breaking
Maroon 5,hands all over
Fabolous,special delivery freestyle
Emmylou Harris,long tall sally rose
Xandria,mermaids
Kris Kristofferson,el gavilan
Soundgarden,halfway there
Jim Croce,child of midnight
George Harrison,heading for the light
Planetshakers,lift your name up
Andy Williams,heard the bells on christmas day
Fabolous,twisted freestyle
Elvis Presley,girl of mine
Hank Williams,i've lost the only love i knew
Gary Numan,check it
W.A.S.P.,locomotive breath
Peter Tosh,maga dog
Zeromancer,mosquito coil
Van Morrison,brand new day
Overkill,it lives
Lenny Kravitz,blues for sister someone
Nightwish,ghost love score
Prince,electric chair
Lady Gaga,boys boys boys
Jackson Browne,my stunning mystery companion
Christy Moore,cry like a man
Qntal,palestinalied
Kid Rock,pancake breakfast
Bruce Springsteen,hey blue eyes
UB40,where did i go wrong
Louis Armstrong,when you're smiling
Rihanna,no love allowed
Morrissey,forgive someone
P!nk,we got scurvy
Train,it's love
Kelly Clarkson,empty handed
Conway Twitty,dream maker
Utada Hikaru,exodus '04
Bosson,xanadu
Carol Banawa,only world
Alice Cooper,enough's enough
Luther Vandross,all the woman i need
Donna Summer,i will go with you
Iggy Pop,caesar
Ray Boltz,i want to see
Ne-Yo,religious
Opeth,beneath the mire
Whitney Houston,a song for you
Electric Light Orchestra,from the end of the world
Elvis Costello,call on me (demo)
Deep Purple,i've got your number
Vanessa Williams,lost without you
Usher,appetite
Howard Jones,last supper
Billy Joel,state of grace
Fabolous,family affair freestyle
Linda Ronstadt,many rivers to cross
Roxette,dangerous
Roy Orbison,here comes that song again
Bob Dylan,i don't believe you
Kinks,little bit of emotion
Train,ordinary
Arrogant Worms,rocks and trees
Ramones,i wanted everything
Overkill,end of the line
Alison Krauss,i don't know why
Megadeth,the skull beneath the skin
Chris Brown,fine by me
Israel Houghton,with long life
Guided By Voices,jupiter spin
W.A.S.P.,i can't
Pet Shop Boys,vampires
Depeche Mode,only when i lose myself
Pitbull,fireball
Roxy Music,eight miles high
Ten Years After,spider in my web
P!nk,misery
Arrogant Worms,toronto sucks
Celine Dion,baby close your eyes
Foo Fighters,these days
Natalie Grant,whenever you need somebody
Guns N' Roses,every rose has its thorns
John Waite,tears
Nick Cave,mr. clarinet
Coldplay,lost highway
Helloween,salvation
Ingrid Michaelson,without you
Elvis Costello,abandoned masquerade
Peter Cetera,one clear voice
Status Quo,lakky lady
Chris Brown,between the lines
Iggy Pop,facade
Santana,victim of circumstance
Rihanna,we found love
Regine Velasquez,in your eyes
Soundgarden,my wave
Pretenders,time the avenger
Kelly Clarkson,the day we fell apart
Marianne Faithfull,pirate jenny
Europe,rainbow warrior
Vince Gill,if i didn't have you in my world
John Mellencamp,now more than ever
Carpenters,make believe it's your first time
Andy Williams,love story
Billie Holiday,all the way
Great Big Sea,straight to hell
Metallica,the four horsemen
Used,evolution
Bon Jovi,can't help falling in love
Koes Plus,bis sekolah
Alison Krauss,shadows
Nitty Gritty Dirt Band,i fought the law
Tom Jones,late in the evening
Gary Numan,"i, assassin"
Kirk Franklin,he can handle it
Yeng Constantino,just can't say
Ramones,makin monsters for my friends
Oingo Boingo,cinderella undercover
Glee,extraordinary merry christmas
Christina Aguilera,tilt ya head back
Radiohead,a punch-up at the wedding
Doris Day,julie
Wu-Tang Clan,babies
Gary Numan,a dream of siam
Human League,i don't depend on you
Tears For Fears,memories fade
Unearth,one step away
Otis Redding,new year's resolution
Ufo,sympathy
Maroon 5,i don't want to know
Bob Dylan,ain't no more cane
Grateful Dead,from the heart of me
Our Lady Peace,dreamland
Westlife,i do
Wyclef Jean,diallo
Andy Williams,ain't it true
